Tweet,TextBlob Polarity,TextBlob Score,Vader Polarity,Vader Score
RT @jeremynewberger: AG William Barr's whole purpose is to come around 2-3 months after Trump shits himself and declare the diaper is still…,Positive,0.2,negative,-0.48
"@MikayesFiona Nah!!
 If you'd noticed Trump's Good Friday RT of a Qanon account you'd KNOW he already started layin… https://t.co/pyaP1hwBUh",Positive,0.7,positive,0.36
RT @IngrahamAngle: An old pal in Los Angeles (no Trump fan) just texted me that seven friends of hers (here and in Sweden) ALL took hydroxy…,Positive,0.1,positive,0.66
"RT @CableNewsWatch: You mean TRUMP was right when he warned about all the suicides, depression etc?

I remember so many in the MSM attackin…",Positive,0.16,negative,-0.7
RT @MatthewJshow: @WhiteHouse @realDonaldTrump Thanks President Trump for keeping the nation informed!,Positive,0.2,positive,0.44
@jonathanchait The real panic will be when Biden realizes that he cannot debate Trump with a Teleprompter,Positive,0.2,negative,-0.51
"RT @tedlieu: Exactly six weeks ago, @SecPompeo refused to say six times that #coronavirus was not a hoax. We will never forget that the @re…",Positive,0.25,negative,-0.39
"RT @joncoopertweets: FUN FACT: Ivanka Trump, who’ll serve on the White House’s new economy-focused coronavirus task force, was granted a tr…",Positive,0.15,positive,0.82
RT @CalebJHull: This is the guy who has made a career out of making fun of the physical appearance of Trump supporters.... https://t.co/koD…,Positive,0.15,positive,0.74
RT @SchemppShawn: @WeAreCanProud Trump rightly claims that Trudeau destroyed the Canadian Energy sectors with his UN Carbon Tax.,Positive,0.29,negative,-0.27
"RT @MSNBC: President Trump claims the U.S. is in ""great shape"" with medical supplies for coronavirus.
https://t.co/ANbW83WIbw",Positive,0.4,positive,0.62
@fem2828 @real_defender @realDonaldTrump He would make his own Nazi symbol making a Nazi sign tinier with T's hitting Trump's of the USA,Positive,0.6,positive,0.1
RT @GreggJarrett: New Evidence Confirms That The Russia Probe Against @realDonaldTrump Was A “Witch Hunt” https://t.co/TrI7ZtRyKG,Positive,0.14,negative,-0.36
@Westview_Al Trump has started a second COVID advisory group. The first one is medical. The second one is economic… https://t.co/SmsV04twev,Positive,0.09,neutral,0.0
@World_W_No_End @JeffSharlet At the end the day Trump and his administration  were smart enough to realize how clev… https://t.co/lvKdGf8Xk5,Positive,0.11,positive,0.13
"RT @ryanstruyk: WSJ editorial board: ""Mr. Trump seems to have concluded that the briefings could be a showcase for him... His first-rate he…",Positive,0.25,neutral,0.0
RT @henrynathanmia: @Yamiche Them first then.    Why hasn’t trump met w anyone who lost a loved one?   Hasn’t met or even called any nurses…,Positive,0.47,positive,0.38
"RT @trump_noodle: 🔥Another AMAZING video by @Joelpatrick1776 

🔥”WORK PRIVILEGE EXISTS; “White privilege” DOES NOT!”💥 

🔥”Stop making excus…",Positive,0.3,positive,0.9
Trump literally makes me jump for joy.  I cannot contain my love for this man. 😅😅,Positive,0.65,positive,0.84
"RT @kimguilfoyle: ""In an interview this week with Fox News’ Laura Ingraham, Barr called the Trump investigation 'one of the greatest traves…",Positive,1.0,positive,0.64
"@nytimes #Democrats say never.  If it reopens, and rebounds in any form....boom, its a win in Nov. for #trump 

If… https://t.co/cYs08T25y7",Positive,0.8,positive,0.59
"@PatticusFinchy Good point. But would it be better to be connected to a corrupt govt like trump's? 

There's one ob… https://t.co/omBSnTjwxC",Positive,0.23,positive,0.84
RT @TheRickWilson: Someone else said today that the social distancing campaign is out of Trump's hands now and we're doing it on our own. T…,Positive,0.32,neutral,0.0
"I am in an abusive relationship with Trump. 

Who doesn’t know this? 

Love is love.",Positive,0.5,positive,0.64
"RT @w_terrence: @realDonaldTrump Here is a President, Here is a man that was Chosen by God to be the leader of the Free World. President Tr…",Positive,0.4,positive,0.66
RT @ddale8: Trump notes that the NY death toll from this is more than double the death toll there for 9/11. He says this by way of leading…,Positive,0.25,negative,-0.83
"Trump confirmed if Fauci and team say don’t open on May 1, he will listen to them",Positive,0.2,neutral,0.0
