Tweet,Filtered Tweet,TextBlob Polarity,TextBlob Score,Vader Polarity,Vader Score
"RT @peterdaou: VOTE FOR #BIDEN OR YOU'RE RESPONSIBLE FOR TRUMP!

vs.

VOTE FOR #BIDEN BECAUSE HE'LL EMBRACE #M4A &amp; #GND

Which of these two…",RT VOTE FOR BIDEN OR YOU RE RESPONSIBLE FOR TRUMP vs VOTE FOR BIDEN BECAUSE HE LL EMBRACE MA amp GND Which two,Positive,0.2,positive,0.72
"RT @John_Albertsen: @TheRickWilson Well, he DID campaign as being EXACTLY like Trump so, 'promises made, promises kept'?",RT Albertsen Well DID campaign EXACTLY like Trump promises made promises kept,Positive,0.25,positive,0.83
"RT @UROCKlive1: Trump says governors are hardly calling him now. He thinks it's because they're in great shape and don't need anything, but…",RT Trump says governors hardly calling He thinks great shape need anything,Positive,0.25,positive,0.62
"Yep, Donald Trump really is going to prison https://t.co/ptbe4fLyIZ via @PalmerReport",Yep Donald Trump really going prison via,Positive,0.2,negative,-0.34
"RT @SethAbramson: MAJOR BREAKING NEWS (THE WASHINGTON POST): Trump Privately Proposed Just Letting Coronavirus ""Wash Over"" America—Killing…",RT MAJOR BREAKING NEWS THE WASHINGTON POST Trump Privately Proposed Just Letting Coronavirus Wash Over America Killing,Positive,0.03,negative,-0.66
"RT @SethAbramson: The revelation that Trump was willing to let this virus ""wash over"" the country—killing millions—to preserve the economy…",RT The revelation Trump willing let virus wash country killing millions preserve economy,Positive,0.25,negative,-0.66
"RT @ProudResister: Centrists’ strategy to beat Trump is to shame, blame, attack, and alienate the very voters that they need to win. And th…",RT Centrists strategy beat Trump shame blame attack alienate voters need win And th,Positive,0.8,negative,-0.59
"RT @HoarseWisperer: We need Benghazi-like hearings about Trump’s early handling of COVID-19.

He needs to be spending the summer and fall o…",RT We need Benghazi like hearings Trump early handling COVID He needs spending summer fall,Positive,0.1,positive,0.36
"@WilliamWino215 Trump said April 30th but we all know that this virus hasn’t progressed positively or slowed down,… https://t.co/qUdnIJ3prQ",Trump said April th know virus progressed positively slowed https co qUdnIJprQ,Positive,0.23,positive,0.53
"RT @TranslateRealDT: Trump as Captain of the Titanic:

""There is no iceberg. The iceberg's a Democrat Hoax. Okay, there was an iceberg but…",RT Trump Captain Titanic There iceberg The iceberg Democrat Hoax Okay iceberg,Positive,0.5,negative,-0.05
"RT @1IronMan2O2O: Republicans have been trying to kill the Postal Service for nearly two decades.

The goal of Republicans is to bankrupt i…",RT Republicans trying kill Postal Service nearly two decades The goal Republicans bankrupt,Positive,0.1,negative,-0.85
"RT @ChrisLu44: THREAD: 29,000 DACA recipients are healthcare workers, many helping #COVID19 patients. All could be deported if Trump prevai…",RT THREAD DACA recipients healthcare workers many helping COVID patients All could deported Trump prevai,Positive,0.5,positive,0.3
"RT @DionForCongress: If Feinstein wants something, we should immediately do the opposite.  Her and her anti-American pals celebrated a sham…",RT If Feinstein wants something immediately opposite Her anti American pals celebrated sham,Positive,0.07,positive,0.34
"RT @DIDNOTVOTEFOR44: This kind of rhetoric, while almost amusing because it's so unrelated to reality, is also frightening.  

""These peopl…",RT This kind rhetoric almost amusing unrelated reality also frightening These peopl,Positive,0.23,positive,0.36
"RT @pam_sands: Brilliant move, ⁦@SenFeinstein⁩, giving money to our enemies who want to kill us! 🙄Vote her OUT! 

Senator Feinstein pushes…",RT sands Brilliant move giving money enemies want kill us Vote OUT Senator Feinstein pushes,Positive,0.9,negative,-0.34
"RT @ABC: The governor of Maryland pushed back against President Donald Trump's claim at his latest briefing that states are in ""good shape""…",RT The governor Maryland pushed back President Donald Trump claim latest briefing states good shape,Positive,0.4,positive,0.44
"RT @judybalda: @Kaybirds Very good.
Get ready Leftists- u will be
Cursing Trump-Meadows- America-
Economy-going back to work &amp; so
On.

We R…",RT Very good Get ready Leftists u Cursing Trump Meadows America Economy going back work amp On We R,Positive,0.37,positive,0.71
The latest Twitter Daily! https://t.co/iAJ7upeE45 #trump,The latest Twitter Daily trump,Positive,0.25,neutral,0.0
"@emilyclaire_ok Well everywhere you go people are criticizing trump, like it’s not something that’s lacking in medi… https://t.co/ia68FAGiTc",ok Well everywhere go people criticizing trump like something lacking medi https co iaFAGiTc,Positive,0.5,positive,0.51
RT @KwikWarren: 1/ Reza Aslan accurately described white Evangelical trumpers as a racist “doomsday cult” on #AMJoy today. Thread of quotes…,RT Reza Aslan accurately described white Evangelical trumpers racist doomsday cult AMJoy today Thread quotes,Positive,0.2,negative,-0.83
"RT @ewarren: Voters shouldn’t have to choose between participating in our democracy and keeping themselves safe. 

We need to ensure everyo…",RT Voters choose participating democracy keeping safe We need ensure everyo,Positive,0.5,positive,0.67
"RT @joncoopertweets: Golf Kept Trump From Focusing On COVID-19, Not Impeachment, Zings GOP Group In New Ad

Trump was also tied up at his c…",RT Golf Kept Trump From Focusing On COVID Not Impeachment Zings GOP Group In New Ad Trump also tied c,Positive,0.14,neutral,0.0
@MMFlint Some good ideas here but we must be careful embracing these ideas bc Trump has raised our national debt th… https://t.co/0NZ2w21BEh,Some good ideas must careful embracing ideas bc Trump raised national debt th https co NZwBEh,Positive,0.3,positive,0.25
RT @Delavegalaw: The USPS delivers nearly 182M pieces of first class mail every single day. That's just a part of what they do. Some of Tru…,RT The USPS delivers nearly M pieces first class mail every single day That part Some Tru,Positive,0.09,neutral,0.0
RT @LaurenBaratzL: I proudly say f--k you to Michael Moore and any ostensible Democrat who tries to hold this election hostage. @MMFlint an…,RT I proudly say f k Michael Moore ostensible Democrat tries hold election hostage,Positive,0.35,positive,0.56
