Tweet,TextBlob Polarity,TextBlob Score,Vader Polarity,Vader Score
"RT @BoycottUtah: It is Tuesday, April 7, 2020. One citizen, I call for the removal from office by any legal means, the impeached fascist Do…",Positive,0.2,Negative,-0.48
"It is 7:21 PM April 7, 2020. Donald J Trump is responsible for the death of 12,291 fellow Americans and counting.… https://t.co/bf6kVK7S6W",Positive,0.2,Negative,-0.38
"RT @Julia3131: I agree with Donald J Trump.

When he says at his Press Conference: 
""Nobody's done anything like we've been able to do""

Da…",Positive,0.5,Positive,0.61
"RT @40_head: 8. And, Donald J. Trump gets elected exactly 100 years after that 1916 election, answering the call to end the Cabal's reign o…",Positive,0.25,Neutral,0.0
"RT @XArmandKleinX: 🇺🇸President Donald J.Trump :
USNS Comfort—a ""70,000 ton message of hope""—has arrived in New York City🇺🇸AMAZING🇺🇸👍🇺🇸🙏Pray…",Positive,0.14,Neutral,0.0
RT @steelslat: @hughhewitt @JenniferJJacobs They'll be available exclusively at the White House gift shop for $139.99 and come with a free…,Positive,0.2,Positive,0.44
"RT @JohnMTalmadgeMD: @SuziReynolds2 My professional opinion is that Donald J. Trump is impaired to the extent that he is not mentally, emot…",Positive,0.08,Neutral,0.0
"@jbarro If you're all so convinced you'd be such a better president than Donald J. Trump, why aren't you president?",Positive,0.25,Positive,0.75
Free The Tiger King - Sign the Petition! https://t.co/G9wgKe8rng via @Change,Positive,0.4,Positive,0.56
"Social #distancing was a step in the right direction, but it is not #enough. As long as people are congregating - e… https://t.co/9JpEbH50hN",Positive,0.07,Neutral,0.0
"@CheriJacobus ""Must be a pretty picture, you dropping to your knees""
- Donald J Trump

This is why she got hired. P… https://t.co/MTXHxNmjtC",Positive,0.25,Positive,0.49
Nobody better at the “Blame Game” than donald j. trump https://t.co/1q6JcbAWrS,Positive,0.05,Positive,0.44
"RT @ianbassin: As usual, a must read from @JVLast: ""Trump Ignored All of the Warnings.""  

""it is literally true that the only president in…",Positive,0.03,Negative,-0.18
RT @thebradfordfile: Donald J. Trump is getting even better at being president. The opposition thought this crisis was finally going to be…,Positive,0.25,Negative,-0.45
@john_johnsenior @ClintSmithIII Only losers feel the way you do. For the most part all Americans are very proud of… https://t.co/2VRJ0d55bH,Positive,0.33,Neutral,-0.0
"Donald J. Trump was never held accountable for anything in his rich, silver spoon upbringing. Now as an adult he ca… https://t.co/4tjkktcv1T",Positive,0.24,Positive,0.56
"RT @BMcAdory9: @realDonaldTrump Donald J. Trump is the most prosperous President that America has has in a lifetime!!! Thank you, President…",Positive,0.78,Positive,0.78
".@kayleighmcenany is a Massive liar, believe me. TREMENDOUS liar. Like you’ve never seen before. It’s why I love he… https://t.co/1yhqUPxCvC",Positive,0.28,Neutral,0.01
"RT @XArmandKleinX: 🇺🇸President Donald J.Trump:            We are speeding urgent economic relief to American workers, families, and employe…",Positive,0.1,Positive,0.6
"['FabbysDelights;rep. @jerrynadler (d-ny) wisely takes key step toward possible impeachment:;West Palm Beach', ' FL & NYC;99;867;0;en;-80.0533746;26.7153424;United States;unknown;positive']",Positive,0.23,Positive,0.42
"['SeeThroughWeb;get others to tell your story', ' and more personal branding lessons from president trump;Toronto', ' Canada;43;0;0;en;-79.3831843;43.653226;Canada;sadness;neutral']",Positive,0.25,Neutral,0.0
"[""MVHannigan;i can pretty much regulate my morning by president trump's tweets on @realdonaldtrump ... they always come during the same time frame.;unknown;724;0;0;en;-100.113952;76.250578;Arctic;unknown;positive""]",Positive,0.15,Positive,0.49
"[""realestatesuzzi;@realdonaldtrump @nytimes keep them honest! i love it i can't get enough of it. :-) thank you president trump! :-) i just love saying that!;unknown;71;0;0;en;-100.113952;76.250578;Arctic;joy;positive""]",Positive,0.4,Positive,0.96
